sublist	headword	members
1	analyse	analysed|analyser|analysers|analyses|analysing|analysis|analyst|analysts|analytic|analytical|analytically|analyze|analyzed|analyzes|analyzing
1	approach	approachable|approached|approaches|approaching|unapproachable
1	area	areas
1	assess	assessable|assessed|assesses|assessing|assessment|assessments|reassess|reassessed|reassessing|reassessment|unassessed
1	assume	assumed|assumes|assuming|assumption|assumptions
1	authority	authoritative|authorities
1	available	availability|unavailable
1	benefit	beneficial|beneficiary|beneficiaries|benefited|benefiting|benefits
1	concept	conception|concepts|conceptual|conceptualisation|conceptualise|conceptualised|conceptualises|conceptualising|conceptually
1	consist	consisted|consistency|consistent|consistently|consisting|consists|inconsistencies|inconsistency|inconsistent
1	constitute	constituencies|constituency|constituent|constituents|constituted|constitutes|constituting|constitution|constitutions|constitutional|constitutionally|constitutive|unconstitutional
1	context	contexts|contextual|contextualise|contextualised|contextualising|uncontextualised|contextualize|contextualized|contextualizing|uncontextualized
1	contract	contracted|contracting|contractor|contractors|contracts
1	create	created|creates|creating|creation|creations|creative|creatively|creativity|creator|creators|recreate|recreated|recreates|recreating
1	data	
1	define	definable|defined|defines|defining|definition|definitions|redefine|redefined|redefines|redefining|undefined
1	derive	derivation|derivations|derivative|derivatives|derived|derives|deriving
1	distribute	distributed|distributing|distribution|distributional|distributions|distributive|distributor|distributors|redistribute|redistributed|redistributes|redistributing|redistribution
1	economy	economic|economical|economically|economics|economies|economist|economists|uneconomical
1	environment	environmental|environmentalist|environmentalists|environmentally|environments
1	establish	disestablish|disestablished|disestablishes|disestablishing|disestablishment|established|establishes|establishing|establishment|establishments
1	estimate	estimated|estimates|estimating|estimation|estimations|over-estimate|overestimate|overestimated|overestimates|overestimating|underestimate|underestimated|underestimates|underestimating
1	evident	evidenced|evidence|evidential|evidently
1	export	exported|exporter|exporters|exporting|exports
1	factor	factored|factoring|factors
1	finance	financed|finances|financial|financially|financier|financiers|financing
1	formula	formulae|formulas|formulate|formulated|formulating|formulation|formulations|reformulate|reformulated|reformulating|reformulation|reformulations
1	function	functional|functionally|functioned|functioning|functions
1	identify	identifiable|identification|identified|identifies|identifying|identities|identity|unidentifiable
1	income	incomes
1	indicate	indicated|indicates|indicating|indication|indications|indicative|indicator|indicators
1	individual	individualised|individuality|individualism|individualist|individualists|individualistic|individually|individuals
1	interpret	interpretation|interpretations|interpretative|interpreted|interpreting|interpretive|interprets|misinterpret|misinterpretation|misinterpretations|misinterpreted|misinterpreting|misinterprets|reinterpret|reinterpreted|reinterprets|reinterpreting|reinterpretation|reinterpretations
1	involve	involved|involvement|involves|involving|uninvolved
1	issue	issued|issues|issuing
1	labour	labor|labored|labors|laboured|labouring|labours
1	legal	illegal|illegality|illegally|legality|legally
1	legislate	legislated|legislates|legislating|legislation|legislative|legislator|legislators|legislature
1	major	majorities|majority
1	method	methodical|methodological|methodologies|methodology|methods
1	occur	occurred|occurrence|occurrences|occurring|occurs|reoccur|reoccurred|reoccurring|reoccurs
1	percent	percentage|percentages
1	period	periodic|periodical|periodically|periodicals|periods
1	policy	policies
1	principle	principled|principles|unprincipled
1	proceed	procedural|procedure|procedures|proceeded|proceeding|proceedings|proceeds
1	process	processed|processes|processing
1	require	required|requirement|requirements|requires|requiring
1	research	researched|researcher|researchers|researches|researching
1	respond	responded|respondent|respondents|responding|responds|response|responses|responsive|responsiveness|unresponsive
1	role	roles
1	section	sectioned|sectioning|sections
1	sector	sectors
1	significant	insignificant|insignificantly|significance|significantly|signified|signifies|signify|signifying
1	similar	dissimilar|similarities|similarity|similarly
1	source	sourced|sources|sourcing
1	specific	specifically|specification|specifications|specificity|specifics
1	structure	restructure|restructured|restructures|restructuring|structural|structurally|structured|structures|structuring|unstructured
1	theory	theoretical|theoretically|theories|theorist|theorists
1	vary	invariable|invariably|variability|variable|variables|variably|variance|variant|variants|variation|variations|varied|varies|varying
2	achieve	achievable|achieved|achievement|achievements|achieves|achieving
2	acquire	acquired|acquires|acquiring|acquisition|acquisitions
2	administrate	administrates|administration|administrations|administrative|administratively|administrator|administrators
2	affect	affected|affecting|affective|affectively|affects|unaffected
2	appropriate	appropriacy|appropriately|appropriateness|inappropriacy|inappropriate|inappropriately
2	aspect	aspects
2	assist	assistance|assistant|assistants|assisted|assisting|assists|unassisted
2	category	categories|categorisation|categorise|categorised|categorises|categorising|categorization|categorized|categorizes|categorizing
2	chapter	chapters
2	commission	commissioned|commissioner|commissioners|commissioning|commissions
2	community	communities
2	complex	complexities|complexity
2	compute	computation|computational|computations|computable|computer|computed|computerised|computers|computing
2	conclude	concluded|concludes|concluding|conclusion|conclusions|conclusive|conclusively|inconclusive|inconclusively
2	conduct	conducted|conducting|conducts
2	consequent	consequence|consequences|consequently
2	construct	constructed|constructing|construction|constructions|constructive|constructs|reconstruct|reconstructed|reconstructing|reconstruction|reconstructs
2	consume	consumed|consumer|consumers|consumes|consuming|consumption
2	credit	credited|crediting|creditor|creditors|credits
2	culture	cultural|culturally|cultured|cultures|uncultured
2	design	designed|designer|designers|designing|designs
2	distinct	distinction|distinctions|distinctive|distinctively|distinctly|indistinct|indistinctly
2	element	elements
2	equate	equated|equates|equating|equation|equations
2	evaluate	evaluated|evaluates|evaluating|evaluation|evaluations|evaluative|re-evaluate|re-evaluated|re-evaluates|re-evaluating|re-evaluation
2	feature	featured|features|featuring
2	final	finalise|finalised|finalises|finalising|finalize|finalized|finalizes|finalizing|finality|finally|finals
2	focus	focused|focuses|focusing|focussed|focussing|refocus|refocused|refocuses|refocusing|refocussed|refocusses|refocussing
2	impact	impacted|impacting|impacts
2	injure	injured|injures|injuries|injuring|injury|uninjured
2	institute	instituted|institutes|instituting|institution|institutional|institutionalise|institutionalised|institutionalises|institutionalising|institutionalized|institutionalizes|institutionalizing|institutionally|institutions
2	invest	invested|investing|investment|investments|investor|investors|invests|reinvest|reinvested|reinvesting|reinvestment|reinvests
2	item	itemisation|itemise|itemised|itemises|itemising|items
2	journal	journals
2	maintain	maintained|maintaining|maintains|maintenance
2	normal	abnormal|abnormally|normalisation|normalise|normalised|normalises|normalising|normalization|normalize|normalized|normalizes|normalizing|normality|normally
2	obtain	obtainable|obtained|obtaining|obtains|unobtainable
2	participate	participant|participants|participated|participates|participating|participation|participatory
2	perceive	perceived|perceives|perceiving|perception|perceptions
2	positive	positively
2	potential	potentially
2	previous	previously
2	primary	primarily
2	purchase	purchased|purchaser|purchasers|purchases|purchasing
2	range	ranged|ranges|ranging
2	region	regional|regionally|regions
2	regulate	deregulated|deregulates|deregulating|deregulation|regulated|regulates|regulating|regulation|regulations|regulator|regulators|regulatory|unregulated
2	relevant	irrelevance|irrelevant|relevance
2	reside	resided|residence|resident|residential|residents|resides|residing
2	resource	resourced|resourceful|resources|resourcing|unresourceful|under-resourced
2	restrict	restricted|restricting|restriction|restrictions|restrictive|restrictively|restricts|unrestricted|unrestrictive
2	secure	insecure|insecurities|insecurity|secured|securely|secures|securing|securities|security
2	seek	seeking|seeks|sought
2	select	selected|selecting|selection|selections|selective|selectively|selector|selectors|selects
2	site	sites
2	strategy	strategic|strategies|strategically|strategist|strategists
2	survey	surveyed|surveying|surveys
2	text	texts|textual
2	tradition	non-traditional|traditional|traditionalist|traditionally|traditions
2	transfer	transferable|transference|transferred|transferring|transfers
3	alternative	alternatively|alternatives
3	circumstance	circumstances
3	comment	commentaries|commentary|commentator|commentators|commented|commenting|comments
3	compensate	compensated|compensates|compensating|compensation|compensations|compensatory
3	component	componentry|components
3	consent	consensus|consented|consenting|consents
3	considerable	considerably
3	constant	constancy|constantly|constants|inconstancy|inconstantly
3	constrain	constrained|constraining|constrains|constraint|constraints|unconstrained
3	contribute	contributed|contributes|contributing|contribution|contributions|contributor|contributors
3	convene	convention|convenes|convened|convening|conventional|conventionally|conventions|unconventional
3	coordinate	coordinated|coordinates|coordinating|coordination|coordinator|coordinators|co-ordinate|co-ordinated|co-ordinates|co-ordinating|co-ordination|co-ordinator|co-ordinators
3	core	cores|coring|cored
3	corporate	corporates|corporation|corporations
3	correspond	corresponded|correspondence|corresponding|correspondingly|corresponds
3	criteria	criterion
3	deduce	deduced|deduces|deducing|deduction|deductions
3	demonstrate	demonstrable|demonstrably|demonstrated|demonstrates|demonstrating|demonstration|demonstrations|demonstrative|demonstratively|demonstrator|demonstrators
3	document	documentation|documented|documenting|documents
3	dominate	dominance|dominant|dominated|dominates|dominating|domination
3	emphasis	emphasise|emphasised|emphasising|emphasize|emphasized|emphasizes|emphasizing|emphatic|emphatically
3	ensure	ensured|ensures|ensuring
3	exclude	excluded|excludes|excluding|exclusion|exclusionary|exclusionist|exclusions|exclusive|exclusively
3	framework	frameworks
3	fund	funded|funder|funders|funding|funds
3	illustrate	illustrated|illustrates|illustrating|illustration|illustrations|illustrative
3	immigrate	immigrant|immigrants|immigrated|immigrates|immigrating|immigration
3	imply	implied|implies|implying
3	initial	initially
3	instance	instances
3	interact	interacted|interacting|interaction|interactions|interactive|interactively|interacts
3	justify	justifiable|justifiably|justification|justifications|justified|justifies|justifying|unjustified
3	layer	layered|layering|layers
3	link	linkage|linkages|linked|linking|links
3	locate	located|locating|location|locations|relocate|relocated|relocates|relocating|relocation
3	maximise	max|maximised|maximises|maximising|maximisation|maximize|maximized|maximizes|maximizing|maximization|maximum
3	minor	minorities|minority|minors
3	negate	negative|negated|negates|negating|negatively|negatives
3	outcome	outcomes
3	partner	partners|partnership|partnerships
3	philosophy	philosopher|philosophers|philosophical|philosophically|philosophies|philosophise|philosophised|philosophises|philosophising|philosophize|philosophized|philosophizes|philosophizing
3	physical	physically
3	proportion	disproportion|disproportionate|disproportionately|proportional|proportionally|proportionate|proportionately|proportions
3	publish	published|publisher|publishers|publishes|publishing|unpublished
3	react	reacted|reacts|reacting|reaction|reactionaries|reactionary|reactions|reactive|reactivate|reactivation|reactor|reactors
3	register	deregister|deregistered|deregistering|deregisters|deregistration|registered|registering|registers|registration
3	rely	reliable|reliably|reliance|reliant|relied|relies|relying|unreliable
3	remove	removable|removal|removals|removed|removes|removing
3	scheme	schematic|schematically|schemed|schemes|scheming
3	sequence	sequenced|sequences|sequencing|sequential|sequentially
3	sex	sexes|sexism|sexual|sexuality|sexually
3	shift	shifted|shifting|shifts
3	specify	specifiable|specified|specifies|specifying|unspecified
3	sufficient	sufficiency|insufficient|insufficiently|sufficiently
3	task	tasks
3	technical	technically
3	technique	techniques
3	technology	technological|technologically
3	valid	invalidate|invalidity|validate|validated|validating|validation|validity|validly
3	volume	volumes|vol
4	access	accessed|accesses|accessibility|accessible|accessing|inaccessible
4	adequate	adequacy|adequately|inadequacies|inadequacy|inadequate|inadequately
4	annual	annually
4	apparent	apparently
4	approximate	approximated|approximately|approximates|approximating|approximation|approximations
4	attitude	attitudes
4	attribute	attributable|attributed|attributes|attributing|attribution
4	civil	
4	code	coded|codes|coding
4	commit	commitment|commitments|commits|committed|committing
4	communicate	communicable|communicated|communicates|communicating|communication|communications|communicative|communicatively|uncommunicative
4	concentrate	concentrated|concentrates|concentrating|concentration
4	confer	conference|conferences|conferred|conferring|confers
4	contrast	contrasted|contrasting|contrastive|contrasts
4	cycle	cycled|cycles|cyclic|cyclical|cycling
4	debate	debatable|debated|debates|debating
4	despite	
4	dimension	dimensional|dimensions|multidimensional
4	domestic	domestically|domesticate|domesticated|domesticating|domestics
4	emerge	emerged|emergence|emergent|emerges|emerging
4	error	erroneous|erroneously|errors
4	ethnic	ethnicity
4	goal	goals
4	grant	granted|granting|grants
4	hence	
4	hypothesis	hypotheses|hypothesise|hypothesised|hypothesises|hypothesising|hypothesize|hypothesized|hypothesizes|hypothesizing|hypothetical|hypothetically
4	implement	implementation|implemented|implementing|implements
4	implicate	implicated|implicates|implicating|implication|implications
4	impose	imposed|imposes|imposing|imposition
4	integrate	integrated|integrates|integrating|integration
4	internal	internalise|internalised|internalises|internalising|internalize|internalized|internalizes|internalizing|internally
4	investigate	investigated|investigates|investigating|investigation|investigations|investigative|investigator|investigators
4	job	jobs
4	label	labeled|labeling|labelled|labelling|labels
4	mechanism	mechanisms
4	obvious	obviously
4	occupy	occupancy|occupant|occupants|occupation|occupational|occupations|occupied|occupier|occupiers|occupies|occupying
4	option	optional|options
4	output	outputs
4	overall	
4	parallel	paralleled|parallelled|parallelling|parallels|unparalleled
4	parameter	parameters
4	phase	phased|phases|phasing
4	predict	predictability|predictable|predictably|predicted|predicting|prediction|predictions|predicts|unpredictability|unpredictable
4	principal	principally
4	prior	
4	professional	professionally|professionals|professionalism
4	project	projected|projecting|projection|projections|projects
4	promote	promoted|promoter|promoters|promotes|promoting|promotion|promotions
4	regime	regimes
4	resolve	resolution|resolved|resolves|resolving|unresolved
4	retain	retained|retaining|retainer|retainers|retains|retention|retentive
4	series	
4	statistic	statistician|statisticians|statistical|statistically|statistics
4	status	
4	stress	stressed|stresses|stressful|stressing|unstressed
4	subsequent	subsequently
4	sum	summation|summed|summing|sums
