word	pos	cefr	cefr_all	list
a, an	indefinite article	A1	A1	oxford3000
abandon	v	B2	B2	oxford3000
ability	n	A2	A2	oxford3000
able	adj	A2	A2	oxford3000
abolish	v	C1	C1	oxford5000
abortion	n	C1	C1	oxford5000
about	prep|adv	A1	A1	oxford3000
above	prep|adv	A1	A1	oxford3000
abroad	adv	A2	A2	oxford3000
absence	n	C1	C1	oxford5000
absent	adj	C1	C1	oxford5000
absolute	adj	B2	B2	oxford3000
absolutely	adv	B1	B1	oxford3000
absorb	v	B2	B2	oxford5000
abstract	adj	B2	B2	oxford5000
absurd	adj	C1	C1	oxford5000
abundance	n	C1	C1	oxford5000
abuse	n|v	C1	C1	oxford5000
academic	adj|n	B1	B1|B2	oxford3000
academy	n	C1	C1	oxford5000
accelerate	v	C1	C1	oxford5000
accent	n	B2	B2	oxford5000
accept	v	A2	A2	oxford3000
acceptable	adj	B2	B2	oxford3000
acceptance	n	C1	C1	oxford5000
access	n|v	B1	B1	oxford3000
accessible	adj	C1	C1	oxford5000
accident	n	A2	A2	oxford3000
accidentally	adv	B2	B2	oxford5000
accommodate	v	B2	B2	oxford5000
accommodation	n	B1	B1	oxford3000
accompany	v	B2	B2	oxford3000
accomplish	v	B2	B2	oxford5000
accomplishment	n	C1	C1	oxford5000
accordance	n	C1	C1	oxford5000
according to	prep	A2	A2	oxford3000
accordingly	adv	C1	C1	oxford5000
account	n|v	B1	B1|B2	oxford3000
accountability	n	C1	C1	oxford5000
accountable	adj	C1	C1	oxford5000
accountant	n	B2	B2	oxford5000
accumulate	v	C1	C1	oxford5000
accumulation	n	C1	C1	oxford5000
accuracy	n	B2	B2	oxford5000
accurate	adj	B2	B2	oxford3000
accurately	adv	B2	B2	oxford5000
accusation	n	C1	C1	oxford5000
accuse	v	B2	B2	oxford3000
accused	n	C1	C1	oxford5000
achieve	v	A2	A2	oxford3000
achievement	n	B1	B1	oxford3000
acid	n|adj	B2	B2|C1	oxford5000
acknowledge	v	B2	B2	oxford3000
acquire	v	B2	B2	oxford3000
acquisition	n	C1	C1	oxford5000
acre	n	C1	C1	oxford5000
across	prep|adv	A1	A1	oxford3000
act	v|n	A2	A2|B1	oxford3000
action	n	A1	A1	oxford3000
activate	v	B2	B2	oxford5000
activation	n	C1	C1	oxford5000
active	adj	A2	A2	oxford3000
activist	n	C1	C1	oxford5000
activity	n	A1	A1	oxford3000
actor	n	A1	A1	oxford3000
actress	n	A1	A1	oxford3000
actual	adj	B2	B2	oxford3000
actually	adv	A2	A2	oxford3000
acute	adj	C1	C1	oxford5000
ad	n	B1	B1	oxford3000
adapt	v	B2	B2	oxford3000
