word	pknown	prevalence	nobs
a	0.9772	1.917	438
aardvark	0.9585	1.684	434
aardwolf	0.2126	-0.788	428
abaca	0.2374	-0.706	396
aback	0.8630	1.077	343
abacus	0.9277	1.428	401
abaft	0.1873	-0.876	363
abalone	0.6919	0.496	383
abandon	0.9974	2.427	378
abandoned	1.0000	2.576	401
abandonee	0.6602	0.409	362
abandoner	0.8639	1.081	404
abandonment	0.9905	2.185	419
abase	0.7500	0.667	420
abased	0.7865	0.784	370
abasement	0.8113	0.871	408
abash	0.8874	1.193	462
abashed	0.9412	1.528	391
abashedly	0.8622	1.074	254
abashment	0.7939	0.810	393
abatable	0.7190	0.573	395
abate	0.9275	1.427	386
abatement	0.8870	1.191	407
abattoir	0.5884	0.221	396
abbacy	0.1864	-0.879	413
abbatial	0.1870	-0.877	401
abbe	0.1854	-0.883	410
abbess	0.5242	0.060	414
abbey	0.9508	1.610	386
abbot	0.8128	0.877	422
abbotship	0.4158	-0.211	368
abbreviate	0.9900	2.174	402
abbreviated	0.9948	2.320	382
abbreviation	0.9955	2.349	449
abbreviator	0.9082	1.305	392
abdicable	0.4352	-0.161	386
abdicant	0.6403	0.355	467
abdicate	0.9137	1.338	394
abdication	0.9008	1.263	393
abdicative	0.6542	0.392	373
abdicator	0.8991	1.254	446
abdomen	1.0000	2.576	380
abdominal	0.9926	2.248	407
abdominally	0.9698	1.814	431
abduct	0.9948	2.321	385
abductee	0.9783	1.935	415
abduction	0.9975	2.435	406
abductor	0.9802	1.968	405
abeam	0.4436	-0.140	390
abecedarian	0.1777	-0.912	439
abecedary	0.2134	-0.785	417
abed	0.6667	0.426	408
abele	0.1209	-1.152	397
aberrance	0.6692	0.433	390
aberrancy	0.5455	0.113	363
aberrant	0.7865	0.784	370
aberration	0.9205	1.381	365
aberrational	0.7065	0.537	385
abet	0.7398	0.635	392
abetment	0.4533	-0.116	364
abettor	0.5076	0.019	394
abeyance	0.5623	0.155	361
abeyant	0.4005	-0.250	442
abhor	0.8859	1.185	403
abhorrence	0.9423	1.537	364
abhorrent	0.9496	1.599	417
abhorrently	0.9326	1.463	267
abhorrer	0.6935	0.500	434
abhorring	0.8859	1.185	403
abidance	0.5150	0.037	400
abide	0.9907	2.191	430
abider	0.8077	0.858	416
abiding	0.9855	2.068	415
abidingly	0.8741	1.128	421
abidingness	0.5793	0.198	397
ability	0.9950	2.330	404
abiogenesis	0.4064	-0.234	406
abiogenetically	0.4194	-0.201	217
abiotic	0.7027	0.526	148
abject	0.8878	1.195	410
abjection	0.7410	0.639	390
abjectly	0.8452	1.002	394
abjectness	0.7864	0.784	412
abjudicate	0.7268	0.596	388
abjuration	0.5313	0.078	431
abjuratory	0.4046	-0.239	388
abjure	0.5615	0.153	431
abjurer	0.4928	-0.018	416
ablate	0.5500	0.124	480
ablation	0.6267	0.320	375
ablative	0.5783	0.196	434
ablator	0.4130	-0.217	368
ablaut	0.1377	-1.075	385
ablaze	0.9836	2.028	365
able	0.9977	2.443	434
abler	0.6537	0.391	410
ablest	0.4112	-0.222	394
abloom	0.7052	0.534	363
ablution	0.6509	0.384	464
ablutionary	0.5036	0.009	415
ably	0.8365	0.966	373
abnegate	0.4329	-0.167	395
abnegation	0.4672	-0.082	381
abnegator	0.3506	-0.380	425
abnormal	0.9977	2.442	428
abnormality	0.9975	2.433	399
abnormally	0.9924	2.241	396
abnormity	0.7124	0.554	386
aboard	0.9949	2.326	396
abode	0.9774	1.921	398
abolish	0.9924	2.242	397
abolishable	0.8460	1.005	409
abolisher	0.9416	1.532	411
abolishment	0.9701	1.817	401
abolition	0.9821	2.000	391
abolitionary	0.8547	1.041	351
abolitionism	0.9026	1.273	431
abolitionist	0.9587	1.686	387
abominable	0.9933	2.270	450
abominableness	0.7724	0.738	246
abominably	0.9606	1.706	431
abominate	0.8932	1.223	384
abomination	0.9857	2.071	419
abominator	0.7297	0.605	407
aboriginal	0.9529	1.629	361
aboriginality	0.7153	0.563	425
aboriginals	0.9299	1.444	157
aborigine	0.8711	1.114	419
abort	0.9955	2.349	448
aborted	0.9973	2.426	375
abortion	0.9974	2.429	386
abortionist	0.9551	1.650	423
abortive	0.9181	1.365	403
abortively	0.7887	0.792	407
abortiveness	0.6905	0.492	252
abound	0.9792	1.950	433
abounding	0.9461	1.568	408
about	1.0000	2.576	405
above	0.9977	2.443	433
aboveboard	0.7437	0.647	394
aboveground	0.8503	1.023	374
abovementioned	0.7344	0.619	418
abracadabra	0.9570	1.669	395
abrade	0.5525	0.131	400
abrader	0.3462	-0.392	416
abrasion	0.9580	1.679	405
abrasive	0.9800	1.963	400
abrasively	0.9853	2.062	407
abrasiveness	0.9862	2.082	435
abreact	0.1406	-1.062	434
abreaction	0.1994	-0.833	361
abreast	0.9501	1.604	381
abridge	0.9510	1.612	408
abridged	0.9744	1.876	430
abridgement	0.9265	1.420	381
abridger	0.6223	0.308	421
abridgment	0.8863	1.187	422
abroad	0.9950	2.327	397
abrogable	0.2468	-0.677	389
abrogate	0.6137	0.286	422
abrogation	0.5784	0.196	408
abrogative	0.4885	-0.028	393
abrupt	0.9953	2.338	423
abruption	0.7402	0.637	358
abruptly	0.9925	2.245	402
abruptness	0.9976	2.436	409
abscess	0.9437	1.549	391
