word	zipf	dom_pos	all_pos
a	7.309	Article	Article|Adverb|Letter|To|Noun|Preposition|Adjective
aa	3.236	Name	Name|Noun
aaa	2.707	Name	Name|Noun
aah	4.721	Interjection	Interjection
aahed	1.593	Verb	Verb
aahing	1.769	Verb	Verb
aahs	2.070	Noun	Noun
aal	1.593	Adjective	Adjective
aardvark	2.634	Noun	Noun|Verb|Name
aargh	2.823	Interjection	Interjection
aaron	4.166	Name	Name
aarrgh	1.593	Verb	Verb
aarrghh	1.593	Noun	Noun
aas	1.769	Noun	Noun|Name
ab	3.173	Unclassified	Unclassified|Noun|Verb
aba	1.991	Noun	Noun
abaca	1.593	Noun	Noun
aback	2.496	Adverb	Adverb
abacus	2.406	Noun	Noun|Name
abacuses	1.593	Noun	Noun
abaddon	2.333	Noun	Noun|Name
abaft	1.769	Verb	Verb|Noun
abalone	2.723	Verb	Verb|Noun|Name
abalones	2.137	Noun	Noun
abandon	3.909	Verb	Verb|Noun
abandoned	4.124	Verb	Verb|Adjective
abandoner	1.593	Noun	Noun
abandoning	3.231	Verb	Verb
abandonment	2.991	Noun	Noun
abandons	2.468	Verb	Verb
abase	1.894	Verb	Verb
abastard	1.593	Noun	Noun
abate	2.070	Verb	Verb|Noun
abated	1.991	Verb	Verb
abatement	1.894	Noun	Noun
abates	1.769	Verb	Verb
abating	1.593	Verb	Verb
abattoir	2.195	Noun	Noun
abay	1.894	Name	Name
abb	1.894	Name	Name|Noun
abba	2.292	Name	Name|Noun
abbas	2.070	Name	Name
abbe	1.769	Name	Name
abbess	1.769	Noun	Noun|Name
abbesses	1.593	Noun	Noun
abbey	3.504	Noun	Noun|Name
abbot	2.935	Name	Name|Noun
abbott	3.896	Name	Name|Noun
abbreviate	1.593	Verb	Verb
abbreviated	2.522	Adjective	Adjective|Verb
abbreviation	2.406	Noun	Noun
abbreviations	2.333	Noun	Noun
abby	4.097	Name	Name
abc	3.389	Name	Name|Noun
abd	1.593	Noun	Noun
abdicate	2.292	Verb	Verb
abdicated	2.195	Verb	Verb
abdicates	1.593	Noun	Noun
abdicating	1.894	Verb	Verb
abdication	2.137	Noun	Noun
abdomen	3.527	Noun	Noun
abdomens	1.894	Noun	Noun
abdominal	3.535	Adjective	Adjective
abdominals	2.195	Noun	Noun
abduct	2.860	Verb	Verb|Noun
abducted	3.700	Verb	Verb|Adjective|Name
abductee	2.614	Noun	Noun
abductees	2.571	Noun	Noun
abducting	2.522	Verb	Verb
abduction	3.561	Noun	Noun
abductions	2.925	Noun	Noun
abductor	2.571	Noun	Noun|Name
abductors	2.371	Noun	Noun
abducts	2.246	Verb	Verb
abeam	2.195	Noun	Noun|Verb
abed	2.333	Adverb	Adverb
abel	3.131	Name	Name|Verb|Noun
abele	1.593	Noun	Noun
abend	2.292	Noun	Noun|Name
aberdeen	2.547	Name	Name
abernethy	1.593	Name	Name
aberrant	2.496	Adjective	Adjective|Noun
aberration	2.754	Noun	Noun
aberrations	2.246	Noun	Noun
abet	2.070	Verb	Verb
abetted	2.246	Verb	Verb
abetting	2.723	Verb	Verb|Name
abettor	1.593	Noun	Noun
abeyance	1.769	Noun	Noun
abhor	2.406	Verb	Verb
abhorred	2.195	Verb	Verb
abhorrent	2.292	Adjective	Adjective
abhors	1.991	Verb	Verb
abide	3.435	Verb	Verb
abided	1.894	Verb	Verb
abiders	1.593	Noun	Noun
abides	1.991	Verb	Verb
abiding	2.707	Adjective	Adjective|Verb
abigail	3.482	Name	Name|Verb|Noun
abilene	3.131	Name	Name|Noun
abilities	3.787	Noun	Noun
ability	4.284	Noun	Noun
abiogenist	1.894	Noun	Noun
abit	1.593	Noun	Noun
abject	2.614	Adjective	Adjective
abjectly	1.894	Adverb	Adverb
abjure	1.593	Verb	Verb
ablate	1.593	Verb	Verb
ablated	1.593	Verb	Verb
ablation	1.593	Noun	Noun
ablaze	2.634	Adjective	Adjective
able	5.203	Adjective	Adjective
abler	1.593	Adjective	Adjective
ablest	1.769	Adjective	Adjective
abloom	1.894	Verb	Verb|Noun
ablution	1.894	Noun	Noun
ablutions	1.991	Noun	Noun
ably	2.292	Adverb	Adverb
abner	3.530	Name	Name|Noun
abnormal	3.465	Adjective	Adjective
abnormalities	2.707	Noun	Noun
abnormality	2.723	Noun	Noun
abnormally	2.614	Adverb	Adverb
abnormity	1.593	Noun	Noun
abo	2.137	Noun	Noun
aboard	4.425	Adverb	Adverb|Preposition
abode	2.823	Noun	Noun
abogado	1.769	Noun	Noun
abolish	2.690	Verb	Verb
abolished	2.614	Verb	Verb
abolishes	1.593	Verb	Verb
abolishing	1.769	Verb	Verb
abolition	2.333	Noun	Noun
abolitionism	1.593	Noun	Noun
abolitionist	2.371	Noun	Noun
abolitionists	2.438	Noun	Noun
abomasum	1.593	Noun	Noun
abominable	2.810	Adjective	Adjective
abominably	2.246	Adverb	Adverb
abominate	1.894	Verb	Verb|Noun|Adjective
abomination	3.063	Noun	Noun
abominations	2.195	Noun	Noun
aboriginal	2.292	Adjective	Adjective
aboriginally	1.593	Adverb	Adverb
aboriginals	1.593	Name	Name
aborigine	1.991	Noun	Noun|Verb
aborigines	2.292	Noun	Noun|Name
aborning	1.593	Verb	Verb
abort	3.665	Verb	Verb
