family,subband,rank,pos_in_band,zipf,prevalence,cefr,gse,awl,pos,members,definition,example
captain,2k-a,1449,1,5.318,0.9893,B1,,0,n,capt|captaincies|captaincy|captained|captaining|captains|capts,,
welcome,2k-a,1297,2,5.253,1.0000,A1,,0,exclam|v|adj|n,unwelcome|unwelcomed|unwelcoming|welcomed|welcomes|welcoming,,
president,2k-a,1090,3,5.148,0.9974,A2,,0,n,presidential|presidentially|presidents|pres,,
murder,2k-a,1312,4,5.049,0.9908,B1,,0,n|v,murdered|murderer|murderers|murderess|murdering|murderous|murderously|murders,,
secret,2k-a,1382,5,5.039,0.9976,A2,,0,adj|n,secretive|secretively|secretiveness|secretly|secrets,,
future,2k-a,1068,6,5.014,0.9948,A1,,0,n|adj,futures|futurism|futurist|futuristic|futuristically|futurists,,
hotel,2k-a,1197,7,5.013,0.9951,A1,,0,n,hotels,,
agent,2k-a,1374,8,5.011,0.9975,B1,,0,n,agents,,
attention,2k-a,1195,9,4.994,1.0000,A2,,0,n|exclam,attentional|attentions|inattention,,
th,2k-a,1114,10,4.990,,,,0,n,,,
relax,2k-a,1453,11,4.985,1.0000,A1,,1,v,relaxation|relaxations|relaxed|relaxer|relaxers|relaxes|relaxing|relaxant|relaxants,,
message,2k-a,1346,12,4.961,0.9973,A1,,0,n,messages|messaging,,
appreciate,2k-a,1466,13,4.933,1.0000,B1,,1,v,appreciated|appreciates|appreciating|appreciation|appreciative|appreciatively|unappreciated|unappreciative,,
army,2k-a,1231,14,4.932,0.9973,A2,,0,n,armies,,
evidence,2k-a,1085,15,4.929,1.0000,A2,,0,n,evidenced|evidences|evidential,,
accident,2k-a,1311,16,4.910,0.9977,A2,,0,n,accidental|accidentally|accidently|accidents,,
pleasure,2k-a,1477,17,4.907,1.0000,B1,,0,n,pleasurable|pleasurably|pleasures,,
entire,2k-a,1248,18,4.902,0.9951,B2,,0,adj,entirely|entirity,,
chief,2k-a,1207,19,4.891,0.9923,B2,,0,adj|n,chiefly|chiefs,,
brain,2k-a,1468,20,4.886,0.9930,A2,,0,n,brained|brainier|brainiest|braininess|brainless|brains|brainy,,
private,2k-a,1102,21,4.880,0.9954,B1,,0,adj,privately|semiprivate,,
attack,2k-a,1120,22,4.878,0.9975,A2,,0,n|v,attacked|attacker|attackers|attacking|attacks,,
partner,2k-a,1208,23,4.876,0.9977,A1,,1,n,pardner|pardners|partnered|partnering|partners|partnership|partnerships,,
scene,2k-a,1306,24,4.873,0.9928,A2,,0,n,scenery|scenes|scenic|scenically,,
cash,2k-a,1333,25,4.859,0.9972,A2,,0,n,cashed|cashes|cashing|cashless,,
respect,2k-a,1169,26,4.854,1.0000,B1,,0,n|v,respectable|respectably|respected|respecter|respecters|respectful|respectfully|respecting|respects,,
prove,2k-a,1162,27,4.847,0.9864,B1,,0,v,proved|proven|proves|proving|unproved|unproven|provable,,
peace,2k-a,1263,28,4.842,0.9951,A2,,0,n,peaceable|peaceably|peaceful|peacefully|peacefulness,,
neither,2k-a,1377,29,4.830,0.9949,A2,,0,det|pron|adv,,,
contact,2k-a,1184,30,4.811,1.0000,B1,,1,n|v,contactable|contacted|contacting|contacts|uncontactable,,
department,2k-a,1073,31,4.805,0.9831,A2,,0,n,departmental|departmentally|departments|dept|depts|interdepartmental,,
patient,2k-a,1338,32,4.803,0.9975,A2,,0,n|adj,patiently,,
grand,2k-a,1460,33,4.799,0.9922,B2,,0,adj,grander|grandest|grandly|grandness|grands,,
guilty,2k-a,1472,34,4.794,0.9974,B1,,0,adj,guilt|guiltily|guiltless,,
flight,2k-a,1426,35,4.775,0.9974,A1,,0,n,flightless|flights|flighty|flt,,
arrest,2k-a,1435,36,4.774,0.9921,B1,,0,v|n,arrestable|arrested|arresting|arrests,,
guard,2k-a,1485,37,4.764,0.9978,B1,,0,n|v,guarded|guardedly|guarding|guards|unguarded,,
decision,2k-a,1052,38,4.740,1.0000,A2,,0,n,decisions,,
medical,2k-a,1314,39,4.735,1.0000,A2,,1,adj,medicalization|medically|medicals,,
states,2k-a,1113,40,4.733,,,,0,name,interstate|statehood|stateless|statist,,
bomb,2k-a,1402,41,4.729,0.9926,B1,,0,n|v,bombed|bomber|bombers|bombing|bombings|bombs,,
band,2k-a,1313,42,4.727,1.0000,A1,,0,n,banded|banding|bands,,
pressure,2k-a,1164,43,4.725,0.9948,B1,,0,n,pressured|pressures|pressuring|pressurisation|pressurise|pressurised|pressurising|pressurization|pressurize|pressurized|pressurizing,,
excellent,2k-a,1389,44,4.721,0.9929,A2,,0,adj,excellence|excellently,,
copy,2k-a,1275,45,4.718,1.0000,A2,,0,n|v,copied|copier|copiers|copies|copying|copyist|copyists,,
duty,2k-a,1230,46,4.707,1.0000,B1,,0,n,dutiable|duties|dutiful|dutifully|dutifulness,,
