family,subband,rank,pos_in_band,zipf,prevalence,cefr,gse,awl,pos,members,definition,example
damn,3k-b,2651,1,5.452,0.9978,,,0,adj,dammit|damnable|damnably|damnation|damndest|damned|damnedest|damning|damnit|damns,,
jail,3k-b,2884,2,4.848,0.9974,B2,,0,n|v,jailed|jailer|jailers|jailing|jails,,
holy,3k-b,2644,3,4.833,0.9975,B2,,0,adj,holier|holiest|holiness|unholier|unholiest|unholiness|unholy,,
jury,3k-b,2845,4,4.631,1.0000,B2,,0,n,juries,,
naked,3k-b,2911,5,4.594,0.9974,B2,,0,adj,nakedly|nakedness,,
monster,3k-b,2913,6,4.589,0.9976,B2,,0,n,monsters|monstrosities|monstrosity|monstrous|monstrously,,
romantic,3k-b,2872,7,4.546,0.9951,B1,,0,adj,romantically|romanticisation|romanticise|romanticised|romanticises|romanticising|romanticization|romanticize|romanticized|romanticizes|romanticizing|romantics|unromantic,,
proof,3k-b,2607,8,4.536,1.0000,B2,,0,n,proofed|proofing|proofs,,
suicide,3k-b,2931,9,4.534,0.9979,C1,,0,n,suicidal|suicidally|suicides,,
funeral,3k-b,2866,10,4.521,0.9923,C1,,0,n,funerals,,
surgery,3k-b,2751,11,4.510,0.9929,B2,,0,n,surgeries,,
mayor,3k-b,2827,12,4.495,1.0000,B2,,0,n,mayoral|mayoress|mayoresses|mayors|mayoralty,,
permission,3k-b,2629,13,4.493,1.0000,A2,,0,n,permissions,,
ocean,3k-b,2705,14,4.481,0.9953,A2,,0,n,oceanic|oceans,,
gang,3k-b,2904,15,4.479,1.0000,B2,,0,n,ganged|ganging|gangs,,
regret,3k-b,2673,16,4.433,1.0000,B2,,0,v|n,regretful|regretfully|regrets|regrettable|regrettably|regretted|regretting,,
fate,3k-b,2843,17,4.430,0.9975,C1,,0,n,fated|fates|fating,,
grateful,3k-b,2677,18,4.424,0.9949,B1,,0,adj,gratefully|gratefulness|ungrateful|ungratefully|ungratefulness,,
grave,3k-b,2757,19,4.419,1.0000,C1,,0,n|adj,graves,,
priest,3k-b,2564,20,4.418,0.9901,B1,,0,n,priestess|priestesses|priesthood|priestlier|priestliest|priestliness|priestly|priests,,
talent,3k-b,2543,21,4.417,1.0000,B1,,0,n,talented|talents|untalented,,
rescue,3k-b,2584,22,4.405,0.9868,B2,,0,v|n,rescued|rescuer|rescuers|rescues|rescuing,,
duke,3k-b,2611,23,4.398,0.9871,,,0,n,archduke|archdukes|dukedom|dukedoms|dukes,,
uniform,3k-b,2511,24,4.395,0.9947,A2,,1,n,uniformed|uniformity|uniformly|uniforms,,
courage,3k-b,2849,25,4.374,0.9922,B2,,0,n,courageous|courageously,,
federal,3k-b,2513,26,4.362,0.9896,B2,,1,adj,federalism|federalist|federalists|federalize|federalized|federalizes|federalizing|federally,,
flesh,3k-b,2776,27,4.343,0.9948,C1,,0,n,fleshed|fleshes|fleshiness|fleshing|fleshy|fleshly,,
sweat,3k-b,2905,28,4.339,0.9948,,,0,n,sweated|sweatier|sweatiest|sweating|sweats|sweaty,,
swell,3k-b,2934,29,4.318,0.9974,,,0,adj,swelled|swelling|swellings|swells|swollen,,
alert,3k-b,2893,30,4.314,0.9950,C1,,0,v|n|adj,alerted|alerting|alertly|alertness|alerts,,
zone,3k-b,2520,31,4.303,1.0000,B2,,0,n,zonal|zoned|zones|zoning,,
passion,3k-b,2552,32,4.296,0.9950,B1,,0,n,passionate|passionately|passionless|passions,,
intelligence,3k-b,2595,33,4.285,0.9946,B1,,0,n,intelligences|counterintelligence,,
reputation,3k-b,2526,34,4.285,0.9873,B2,,0,n,reputations,,
trail,3k-b,2766,35,4.283,0.9951,C1,,0,n|v,trailed|trailing|trails,,
virus,3k-b,2932,36,4.276,0.9974,A2,,0,n,viruses,,
contest,3k-b,2681,37,4.274,0.9923,B2,,0,n|v,contestable|contestant|contestants|contested|contesting|contests|incontestable|uncontested,,
therapy,3k-b,2702,38,4.267,1.0000,B2,,0,n,therapies|therapist|therapists,,
bible,3k-b,2746,39,4.263,0.9977,,,0,n,bibles|biblical,,
cancel,3k-b,2715,40,4.262,1.0000,B2,,0,v,canceled|canceling|cancellation|cancellations|cancelled|cancelling|cancels,,
sacrifice,3k-b,2898,41,4.253,0.9976,C1,,0,n|v,sacrificed|sacrifices|sacrificial|sacrificing,,
highway,3k-b,2995,42,4.252,1.0000,B2,,0,n,highways,,
tunnel,3k-b,2717,43,4.252,0.9974,B2,,0,n,tunnelled|tunnelling|tunnellings|tunnels,,
assault,3k-b,2630,44,4.245,0.9974,C1,,0,n|v,assaulted|assaulting|assaults,,
concert,3k-b,2799,45,4.244,0.9953,A1,,0,n,concerts,,
alien,3k-b,2788,46,4.241,0.9899,B2,,0,n|adj,alienate|alienated|alienates|alienating|alienation|aliens|inalienable,,
legend,3k-b,2876,47,4.234,0.9953,B2,,0,n,legendarily|legendary|legends,,
opera,3k-b,2733,48,4.233,0.9900,B2,,0,n,operas|operatic,,
trigger,3k-b,2969,49,4.227,0.9977,B2,,1,v|n,triggered|triggering|triggers,,
crush,3k-b,2945,50,4.225,1.0000,C1,,0,v,crushed|crusher|crushers|crushes|crushing|crushingly,,
generous,3k-b,2626,51,4.223,0.9948,B1,,0,adj,generosities|generosity|generously|ungenerous,,
liberty,3k-b,2974,52,4.221,0.9976,C1,,0,n,liberties,,
stake,3k-b,2657,53,4.220,0.9974,C1,,0,n,staked|stakes|staking,,
explosion,3k-b,2623,54,4.217,0.9954,B1,,0,n,explosions|explosive|explosively|explosiveness|explosives|nonexplosive,,
tube,3k-b,2649,55,4.216,0.9951,B1,,0,n,tubed|tubes|tubing|tubeless,,
headquarters,3k-b,2672,56,4.216,0.9947,B2,,0,n,headquartered|hq|hqs,,
personnel,3k-b,2631,57,4.214,0.9857,C1,,0,n,,,
fantasy,3k-b,2951,58,4.210,1.0000,B2,,0,n,fantasies|fantasise|fantasised|fantasises|fantasising|fantasize|fantasized|fantasizes|fantasizing|phantasies|phantasy,,
behave,3k-b,2605,59,4.210,0.9977,A2,,0,v,behaved|behaves|behaving|misbehave|misbehaved|misbehaves|misbehaving,,
chill,3k-b,2953,60,4.210,0.9924,,,0,n,chilled|chiller|chillier|chilliest|chilliness|chilling|chillingly|chills|chilly,,
blast,3k-b,2909,61,4.209,0.9954,C1,,0,n|v,blasted|blaster|blasters|blasting|blasts,,
crystal,3k-b,2663,62,4.208,0.9930,C1,,0,n,crystallisation|crystallise|crystallised|crystallises|crystallising|crystallization|crystallize|crystallized|crystallizes|crystallizing|crystals,,
powder,3k-b,2978,63,4.205,0.9952,B1,,0,n,powdered|powdering|powders|powdery,,
rape,3k-b,2656,64,4.204,0.9977,C1,,0,n|v,raped|rapes|raping|rapist|rapists,,
sin,3k-b,2818,65,4.202,0.9897,C1,,0,n,sinful|sinfully|sinfulness|sinned|sinner|sinners|sinning|sins,,
personality,3k-b,2579,66,4.201,1.0000,A2,,0,n,personalities,,
confess,3k-b,2771,67,4.200,0.9976,B2,,0,v,confessed|confesses|confessing|confession|confessional|confessions|confessor|confessors|confessedly,,
ceremony,3k-b,2758,68,4.199,1.0000,B1,,0,n,ceremonial|ceremonially|ceremonials|ceremonies|ceremonious|ceremoniously|unceremonious|unceremoniously,,
apology,3k-b,2736,69,4.198,1.0000,B2,,0,n,apologies|apologise|apologised|apologises|apologising|apologist|apologists|apologize|apologized|apologizes|apologizing,,
entrance,3k-b,2652,70,4.195,0.9952,B1,,0,n,entrances,,
satellite,3k-b,2917,71,4.194,0.9974,B2,,0,n,satellites,,
hip,3k-b,2948,72,4.188,0.9947,B2,,0,n,hipped|hips,,
gross,3k-b,2720,73,4.184,1.0000,C1,,0,adj,grosser|grossest|grossly|grossness,,
extraordinary,3k-b,2614,74,4.179,0.9974,B2,,0,adj,extraordinarily,,
squeeze,3k-b,2875,75,4.178,1.0000,C1,,0,v,squeezed|squeezes|squeezing,,
urgent,3k-b,2546,76,4.172,0.9896,B2,,0,adj,nonurgent|urgency|urgently,,
counsel,3k-b,2530,77,4.153,0.9747,,,0,n,counseled|counseling|counselings|counselled|counselling|counsellings|counsellor|counsellors|counselor|counselors|counsels,,
tragedy,3k-b,2957,78,4.152,0.9908,B2,,0,n,tragedian|tragedians|tragedies,,
jet,3k-b,2922,79,4.150,0.9923,B2,,0,n,jets|jetted|jetting,,
marine,3k-b,2916,80,4.149,0.9900,C1,,0,adj,,,
remote,3k-b,2578,81,4.146,0.9951,B1,,0,adj,remotely|remoteness|remoter|remotest,,
combat,3k-b,2928,82,4.141,1.0000,C1,,0,n|v,combatant|combatants|combated|combating|combative|combativeness|combats|combatted|combatting,,
laughter,3k-b,2935,83,4.140,1.0000,A2,,0,n,,,
drill,3k-b,2841,84,4.138,0.9976,,,0,n,drilled|driller|drillers|drilling|drills,,
tennis,3k-b,2739,85,4.134,1.0000,A1,,0,n,,,
leather,3k-b,2756,86,4.133,0.9976,B1,,0,n,leatheriness|leathers|leathery,,
palm,3k-b,2964,87,4.122,0.9927,B2,,0,n,palmed|palming|palms,,
cattle,3k-b,2802,88,4.121,1.0000,C1,,0,n,,,
pit,3k-b,2683,89,4.121,0.9976,C1,,0,n,pits|pitted|pitting,,
missile,3k-b,2968,90,4.119,0.9852,C1,,0,n,antimissile|missiles,,
superior,3k-b,2647,91,4.114,0.9952,C1,,0,adj,superiority|superiors,,
