pseudoword,subband,length,accuracy
cyll,1k-a,4,1.000
awds,1k-a,4,1.000
jore,1k-a,4,0.975
huce,1k-a,4,1.000
gurg,1k-a,4,0.974
ealo,1k-a,4,0.975
croo,1k-a,4,1.000
unge,1k-a,4,1.000
cirt,1k-a,4,0.975
wown,1k-a,4,1.000
rarm,1k-a,4,1.000
bavi,1k-a,4,0.975
bamb,1k-a,4,0.950
cohs,1k-a,4,1.000
guft,1k-a,4,0.974
himp,1k-a,4,0.962
swow,1k-a,4,0.950
zeas,1k-a,4,1.000
awur,1k-a,4,1.000
wanx,1k-a,4,0.975
gesk,1k-a,4,1.000
vese,1k-a,4,0.975
rart,1k-a,4,0.987
hach,1k-a,4,0.962
sefs,1k-a,4,1.000
yled,1k-a,4,0.974
kise,1k-a,4,1.000
ahun,1k-a,4,1.000
feam,1k-a,4,0.962
rerp,1k-a,4,1.000
muct,1k-a,4,0.974
kive,1k-a,4,1.000
fage,1k-a,4,0.975
gudg,1k-a,4,0.987
mowa,1k-a,4,1.000
cume,1k-a,4,0.974
colf,1k-a,4,0.950
peud,1k-a,4,1.000
crar,1k-a,4,1.000
ooca,1k-a,4,1.000
nect,1k-a,4,0.974
joms,1k-a,4,1.000
blet,1k-a,4,1.000
slet,1k-a,4,0.974
vike,1k-a,4,0.950
drit,1k-a,4,0.974
pids,1k-a,4,0.974
chag,1k-a,4,0.974
wede,1k-a,4,1.000
lipt,1k-a,4,1.000
oves,1k-a,4,0.974
ylon,1k-a,4,1.000
geks,1k-a,4,1.000
calt,1k-a,4,0.974
boap,1k-a,4,1.000
hoep,1k-a,4,1.000
lidy,1k-a,4,0.975
chot,1k-a,4,1.000
hurk,1k-a,4,1.000
curp,1k-a,4,0.974
paxfy,1k-a,5,0.975
jijod,1k-a,5,1.000
sarno,1k-a,5,1.000
okste,1k-a,5,1.000
elics,1k-a,5,0.950
osiya,1k-a,5,1.000
nents,1k-a,5,0.975
fumbs,1k-a,5,1.000
irtet,1k-a,5,1.000
broky,1k-a,5,1.000
wross,1k-a,5,0.975
esurs,1k-a,5,1.000
taral,1k-a,5,1.000
hauks,1k-a,5,1.000
elurn,1k-a,5,1.000
selit,1k-a,5,0.975
pefos,1k-a,5,1.000
itled,1k-a,5,1.000
trebs,1k-a,5,0.975
giore,1k-a,5,1.000
maved,1k-a,5,0.987
blecs,1k-a,5,0.974
grakh,1k-a,5,1.000
aword,1k-a,5,0.975
lylph,1k-a,5,1.000
prids,1k-a,5,1.000
ispay,1k-a,5,1.000
bertly,1k-a,6,1.000
dinoun,1k-a,6,1.000
wellaw,1k-a,6,1.000
outmew,1k-a,6,0.950
unfett,1k-a,6,1.000
semode,1k-a,6,1.000
gaccer,1k-a,6,0.975
diride,1k-a,6,0.974
reflel,1k-a,6,1.000
mesian,1k-a,6,0.950
ingrol,1k-a,6,1.000
vabber,1k-a,6,1.000
wheths,1k-a,6,0.974
ragtog,1k-a,6,0.974
liffer,1k-a,6,1.000
cistre,1k-a,6,0.950
essers,1k-a,6,1.000
chouge,1k-a,6,1.000
jostest,1k-a,7,1.000
welkers,1k-a,7,1.000
legalls,1k-a,7,0.950
sherved,1k-a,7,0.974
rippian,1k-a,7,1.000
premuke,1k-a,7,0.974
hiftish,1k-a,7,0.974
dwashed,1k-a,7,1.000
trewand,1k-a,7,1.000
plutened,1k-a,8,1.000
chargler,1k-a,8,1.000
troirful,1k-a,8,1.000
bouchdess,1k-a,9,1.000
collcures,1k-a,9,1.000
dreaswosks,1k-a,10,0.974
fimp,1k-b,4,0.987
rult,1k-b,4,1.000
buth,1k-b,4,0.987
prak,1k-b,4,1.000
poar,1k-b,4,0.962
sowd,1k-b,4,0.974
vobe,1k-b,4,0.975
jeme,1k-b,4,1.000
widy,1k-b,4,0.950
amna,1k-b,4,0.975
dise,1k-b,4,1.000
wame,1k-b,4,0.987
kitn,1k-b,4,1.000
nohn,1k-b,4,1.000
dide,1k-b,4,0.962
lomu,1k-b,4,1.000
shiy,1k-b,4,1.000
fipe,1k-b,4,1.000
smus,1k-b,4,1.000
adbu,1k-b,4,1.000
kiju,1k-b,4,1.000
treb,1k-b,4,0.974
gaho,1k-b,4,1.000
twew,1k-b,4,1.000
deat,1k-b,4,1.000
lurn,1k-b,4,0.975
ubip,1k-b,4,1.000
grem,1k-b,4,1.000
fene,1k-b,4,0.974
poap,1k-b,4,0.975
flon,1k-b,4,1.000
whog,1k-b,4,0.975
weag,1k-b,4,1.000
abme,1k-b,4,1.000
murd,1k-b,4,1.000
tiyr,1k-b,4,1.000
atch,1k-b,4,0.975
dize,1k-b,4,0.987
piek,1k-b,4,1.000
mekg,1k-b,4,1.000
iyls,1k-b,4,1.000
buge,1k-b,4,0.962
jark,1k-b,4,0.974
cint,1k-b,4,0.975
cofs,1k-b,4,0.987
toin,1k-b,4,0.974
cawk,1k-b,4,0.974
whot,1k-b,4,0.950
eaut,1k-b,4,1.000
eeps,1k-b,4,0.950
simia,1k-b,5,1.000
tonny,1k-b,5,0.975
ensle,1k-b,5,1.000
isade,1k-b,5,1.000
tafes,1k-b,5,0.975
yemes,1k-b,5,1.000
recye,1k-b,5,1.000
gands,1k-b,5,1.000
thith,1k-b,5,0.975
fough,1k-b,5,1.000
lufts,1k-b,5,1.000
prede,1k-b,5,1.000
pauby,1k-b,5,1.000
rorry,1k-b,5,1.000
suise,1k-b,5,0.975
scood,1k-b,5,0.974
cucky,1k-b,5,0.975
hiled,1k-b,5,0.950
goked,1k-b,5,1.000
borks,1k-b,5,1.000
moxty,1k-b,5,1.000
arque,1k-b,5,0.975
whild,1k-b,5,0.974
tuede,1k-b,5,1.000
grilt,1k-b,5,1.000
whomy,1k-b,5,1.000
glesk,1k-b,5,1.000
agive,1k-b,5,1.000
brops,1k-b,5,0.975
scrala,1k-b,6,0.974
purnab,1k-b,6,0.975
bellee,1k-b,6,0.974
drosmy,1k-b,6,1.000
besied,1k-b,6,0.950
wasely,1k-b,6,0.974
asdice,1k-b,6,1.000
trybie,1k-b,6,1.000
