family,relation,target,sense
abandon,synonym,desert,
abandon,synonym,empty,3
abdomen,synonym,belly,1
abdomen,synonym,stomach,1
abduct,synonym,kidnap,1
abduct,synonym,snatch,1
abide,similar,ache,2
abide,similar,hurt,2
abide,similar,suffer,2
abide,synonym,bear,2
abide,synonym,digest,2
abide,synonym,endure,2
abide,synonym,stand,2
abide,synonym,stay,1
abide,synonym,stomach,2
abide,synonym,suffer,2
abide,synonym,support,2
abide,synonym,tolerate,2
able,similar,capable,3
able,similar,competent,2
able,synonym,capable,2
abnormal,antonym,normal,1
abnormal,similar,deviant,1
abnormal,similar,deviate,1
abnormal,similar,moderate,3
abnormal,similar,regular,1
aboard,synonym,alongside,3
abolish,antonym,establish,1
abound,synonym,bristle,2
abound,synonym,burst,2
about,similar,active,1
about,synonym,almost,
about,synonym,around,2
about,synonym,some,2
above,antonym,below,3
abroad,synonym,overseas,3
abrupt,similar,steep,3
abrupt,similar,sudden,2
abrupt,synonym,sharp,3
absence,antonym,presence,1
absent,antonym,present,1
absent,antonym,presented,
absent,similar,attentive,3
absent,similar,away,1
absent,synonym,abstract,3
absent,synonym,missed,2
absolute,antonym,relative,1
absolute,antonym,relatives,
absolute,similar,arbitrary,3
absolute,similar,complete,2
absolute,similar,direct,1
absolute,similar,exact,1
absolute,similar,implicit,1
absolute,similar,infinite,1
absolute,synonym,rank,2
absolute,synonym,sheer,2
absorb,antonym,emit,
absorb,synonym,assimilate,2
absorb,synonym,engage,
absorb,synonym,immerse,
abstract,antonym,concrete,1
abstract,similar,ideal,1
abstract,similar,ideological,1
abstract,similar,theoretical,3
abstract,synonym,absent,
abstract,synonym,outline,
abstract,synonym,sneak,
absurd,synonym,nonsense,2
absurd,synonym,ridiculous,2
abundant,antonym,scarce,1
abundant,similar,ample,1
abundant,similar,easy,1
abundant,similar,long,1
abundant,similar,lush,1
abundant,similar,rank,1
abundant,similar,rich,1
abundant,similar,thick,1
abuse,synonym,insult,2
accelerate,synonym,speed,1
accent,synonym,dialect,3
accent,synonym,emphasis,2
accent,synonym,emphasise,
accent,synonym,punctuate,
accent,synonym,stress,
accept,antonym,refuse,2
accept,antonym,reject,1
accept,similar,have,2
accept,similar,receive,2
accept,synonym,consent,3
accept,synonym,have,2
accept,synonym,take,2
access,synonym,admission,1
access,synonym,approach,3
accessory,synonym,supplement,2
accident,synonym,stroke,2
acclaim,synonym,applaud,3
acclaim,synonym,clap,3
acclaim,synonym,hail,2
acclaim,synonym,herald,2
acclaim,synonym,spit,3
accommodate,synonym,adapt,2
accommodate,synonym,fit,1
accommodate,synonym,oblige,
accommodate,synonym,reconcile,
accommodate,synonym,suit,1
accompany,synonym,follow,3
accomplish,similar,implement,1
accomplish,synonym,achieve,2
accomplish,synonym,act,1
accomplish,synonym,attain,2
accomplish,synonym,execute,1
accomplish,synonym,fulfil,1
accomplish,synonym,reach,2
accord,synonym,allot,
accord,synonym,pact,3
accord,synonym,treaty,3
account,synonym,bill,
account,synonym,calculate,
account,synonym,chronicle,1
account,synonym,describe,
account,synonym,history,1
account,synonym,report,2
account,synonym,story,1
accountable,similar,responsible,1
accountant,synonym,control,1
accredit,synonym,credit,3
accredit,synonym,recognize,1
accrue,similar,fall,2
accrue,similar,light,2
accrue,similar,pass,2
accrue,similar,return,2
accrue,synonym,fall,2
accumulate,synonym,collect,1
accumulate,synonym,compile,1
accumulate,synonym,conglomerate,2
accumulate,synonym,gather,2
accurate,similar,close,1
accurate,similar,correct,2
accurate,similar,right,1
accurate,similar,straight,1
accurate,similar,surgical,1
accurate,similar,true,1
accurate,synonym,exact,2
accurate,synonym,precise,2
accuse,synonym,charge,2
accuse,synonym,impeach,1
ace,synonym,champion,3
ace,synonym,genius,3
ace,synonym,one,1
ace,synonym,sensation,3
ace,synonym,single,1
ace,synonym,star,3
ace,synonym,super,
ace,synonym,unity,1
ace,synonym,wizard,3
ache,synonym,hurt,3
ache,synonym,pine,2
ache,synonym,smart,3
ache,synonym,yearn,2
ache,synonym,yen,2
achieve,synonym,accomplish,1
achieve,synonym,attain,1
achieve,synonym,reach,1
acid,similar,pleasant,3
acid,synonym,bitter,3
acid,synonym,dose,2
acid,synonym,dot,2
acknowledge,synonym,admit,1
acknowledge,synonym,notice,3
acknowledge,synonym,receipt,2
acknowledge,synonym,recognize,
acquaint,similar,introduce,2
acquaint,similar,present,2
acquaint,synonym,introduce,1
acquaint,synonym,present,1
acquire,similar,develop,3
acquire,similar,evolve,3
acquire,similar,find,1
acquire,similar,get,1
acquire,similar,incur,1
acquire,similar,obtain,1
acquire,similar,receive,1
acquire,synonym,adopt,2
acquire,synonym,assume,2
acquire,synonym,develop,3
acquire,synonym,evolve,
acquire,synonym,gain,
acquire,synonym,get,1
acquire,synonym,grow,3
acquire,synonym,learn,
acquire,synonym,produce,3
acquire,synonym,take,2
acquire,synonym,win,
acquisition,synonym,skill,
acquit,antonym,convict,1
acquit,similar,act,2
acquit,similar,play,2
acquit,similar,pretend,2
acquit,synonym,act,2
acquit,synonym,bear,2
acquit,synonym,behave,2
acquit,synonym,carry,2
acquit,synonym,clear,1
acquit,synonym,conduct,2
acquit,synonym,deport,2
acquit,synonym,discharge,1
acquit,synonym,do,2
acre,synonym,estate,
act,antonym,refrain,1
act,similar,play,2
act,similar,pretend,2
act,synonym,accomplish,
act,synonym,acquit,2
act,synonym,bear,2
act,synonym,behave,2
act,synonym,carry,2
act,synonym,conduct,2
act,synonym,deed,
act,synonym,deport,2
act,synonym,do,2
act,synonym,execute,
act,synonym,fulfil,
act,synonym,litigate,
act,synonym,move,1
act,synonym,number,
act,synonym,play,3
act,synonym,pretend,
act,synonym,represent,3
act,synonym,routine,
act,synonym,work,
activate,synonym,spark,1
activate,synonym,trigger,1
activate,synonym,trip,1
active,antonym,extinct,
active,antonym,passive,3
active,antonym,quiet,
active,synonym,dynamic,
active,synonym,passive,
active,synonym,static,
actual,antonym,potential,1
actual,similar,effective,1
actual,similar,real,2
actual,similar,true,3
actual,synonym,factual,
actual,synonym,genuine,3
actual,synonym,literal,3
actual,synonym,real,3
acute,antonym,chronic,1
